node_num,FIPS,lat,lon
0,48001,31.7544,-95.6471
1,48003,32.3207,-102.552
2,48005,31.3217,-94.7277
3,48007,28.029,-97.0722
4,48009,33.8141,-98.6899
5,48011,35.1075,-101.3629
6,48013,28.9642,-98.4957
7,48015,29.7662,-96.163
8,48019,29.6237,-98.9448
9,48021,30.3526,-97.3883
10,48023,33.5958,-99.258
11,48025,28.4053,-97.749
12,48027,31.0753,-97.7297
13,48029,29.4632,-98.5238
14,48031,30.0987,-98.4169
15,48033,32.767,-101.4465
16,48035,31.7822,-97.5824
17,48039,29.5581,-95.3218
18,48041,30.5852,-96.2959
19,48043,30.364,-103.665
20,48045,34.4714,-101.304
21,48047,27.2243,-98.1452
22,48049,31.7127,-98.9767
23,48051,30.5307,-96.7007
24,48053,30.5649,-98.2768
25,48055,29.8785,-97.6831
26,48057,28.6181,-96.6278
27,48059,32.4056,-99.5039
28,48061,25.9975,-97.458
29,48065,35.3461,-101.3804
30,48069,34.5324,-102.3111
31,48071,29.8518,-94.8775
32,48073,31.9642,-95.2617
33,48075,34.4293,-100.2516
34,48077,33.8146,-98.1924
35,48081,31.8857,-100.2955
36,48083,31.8317,-99.4223
37,48085,33.0502,-96.7486
38,48087,34.8538,-100.214
39,48089,29.7056,-96.5571
40,48091,29.6994,-98.1148
41,48093,31.9005,-98.6043
42,48095,31.2163,-99.844
43,48097,33.639,-97.1487
44,48099,31.1192,-97.914
45,48101,34.0144,-100.3038
46,48103,31.3918,-102.3503
47,48105,30.7074,-101.206
48,48107,33.6413,-101.2377
49,48109,31.0407,-104.8341
50,48113,32.7935,-96.7667
51,48115,32.7333,-101.9541
52,48117,34.8225,-102.4001
53,48119,33.3716,-95.6912
54,48121,33.2175,-97.1418
55,48123,29.1023,-97.2871
56,48125,33.4703,-100.8556
57,48127,28.5267,-99.8589
58,48129,34.9366,-100.8918
59,48131,27.7609,-98.2389
60,48133,32.3848,-98.9805
61,48135,31.8801,-102.3448
62,48137,30.0172,-100.2128
63,48139,32.4035,-96.8446
64,48143,32.2147,-98.2205
65,48145,31.3085,-96.8934
66,48147,33.588,-96.1901
67,48149,29.9129,-96.8768
68,48151,32.8541,-100.4655
69,48153,33.9835,-101.3368
70,48155,33.9839,-99.7241
71,48157,29.5935,-95.6358
72,48159,33.176,-95.2253
73,48161,31.6296,-96.2802
74,48163,28.8915,-99.0975
75,48167,29.2484,-94.8913
76,48169,33.191,-101.3814
77,48171,30.266,-98.8751
78,48173,31.8673,-101.4863
79,48175,28.6708,-97.3917
80,48177,29.5126,-97.4472
81,48179,35.5479,-100.9651
82,48181,33.6273,-96.6221
83,48185,30.3873,-96.0901
84,48187,29.5634,-98.2115
85,48189,34.1911,-101.7235
86,48191,34.7268,-100.5416
87,48193,31.6997,-98.1208
88,48197,34.2954,-99.7428
89,48201,29.786,-95.3885
90,48207,33.1597,-99.732
91,48209,29.8734,-97.9356
92,48213,32.2041,-95.8321
93,48215,26.2252,-98.2467
94,48217,32.0093,-97.115
95,48221,32.4475,-97.7702
96,48223,33.1421,-95.6122
97,48225,31.3177,-95.4564
98,48227,32.2389,-101.4799
99,48231,33.1116,-96.1099
100,48235,31.262,-100.8208
101,48237,33.2256,-98.1594
102,48239,28.9757,-96.6483
103,48243,30.5789,-103.8946
104,48247,27.3251,-98.6857
105,48249,27.7556,-98.0653
106,48251,32.517,-97.3344
107,48253,32.8898,-100.1329
108,48255,28.8176,-97.8518
109,48257,32.744,-96.4529
110,48259,29.7847,-98.7292
111,48261,27.2235,-97.7955
112,48263,33.2502,-100.5748
113,48265,30.0398,-99.132
114,48267,30.4906,-99.7726
115,48269,33.6215,-100.329
116,48271,29.3181,-100.4109
117,48273,27.5094,-97.861
118,48275,33.4471,-99.624
119,48277,33.6688,-95.546
120,48281,31.064,-98.1824
121,48283,28.4364,-99.2367
122,48285,29.2934,-97.1468
123,48287,30.1833,-96.9279
124,48289,31.46,-96.066
125,48293,31.6809,-96.4833
126,48297,28.33,-98.1183
127,48299,30.6651,-98.4545
128,48301,31.7073,-103.5989
129,48303,33.5657,-101.8879
130,48305,33.164,-101.7949
131,48307,31.1322,-99.37
132,48309,31.5599,-97.1882
133,48311,28.46,-98.5487
134,48313,30.9538,-95.9091
135,48317,32.1317,-101.7927
136,48319,30.748,-99.2288
137,48321,28.9838,-95.9601
138,48323,28.7125,-100.484
139,48325,29.3531,-99.1616
140,48327,30.9185,-99.7837
141,48329,32.0243,-102.1147
142,48331,30.6543,-97.0089
143,48333,31.4513,-98.5736
144,48335,32.3996,-100.8582
145,48337,33.5566,-97.844
146,48339,30.1738,-95.5134
147,48345,34.015,-100.8211
148,48347,31.6134,-94.6528
149,48349,32.0824,-96.4665
150,48353,32.4692,-100.4092
151,48355,27.7254,-97.3767
152,48359,35.2453,-102.4294
153,48363,32.8169,-98.0776
154,48367,32.7536,-97.7723
155,48369,34.6394,-102.723
156,48371,30.8926,-102.8842
157,48375,35.1984,-101.8316
158,48377,29.5603,-104.3653
159,48379,32.8766,-95.7677
160,48381,34.9911,-101.919
161,48383,31.1941,-101.4534
162,48385,29.6691,-100.0108
163,48387,33.611,-95.0563
164,48389,30.984,-103.7438
165,48391,28.3074,-97.275
166,48393,35.6923,-100.6417
167,48395,30.877,-96.5956
168,48397,32.9169,-96.4374
169,48399,31.7394,-99.9559
170,48401,32.1576,-94.796
171,48409,27.8942,-97.3278
172,48411,31.1975,-98.7194
173,48413,30.8617,-100.5979
174,48415,32.7133,-100.9116
175,48417,32.7272,-99.2957
176,48423,32.3184,-95.3062
177,48425,32.2461,-97.7442
178,48427,26.3808,-98.8215
179,48429,32.7566,-98.9125
180,48431,31.8392,-100.986
181,48433,33.1405,-100.2253
182,48435,30.5707,-100.6423
183,48437,34.5374,-101.7741
184,48439,32.7817,-97.3474
185,48441,32.4543,-99.7384
186,48443,30.1508,-102.4079
187,48447,33.0149,-99.0534
188,48449,33.1586,-94.9727
189,48451,31.4424,-100.4504
190,48453,30.3005,-97.7522
191,48461,31.1325,-102.22
192,48463,29.2152,-99.7782
193,48465,29.3708,-100.8801
194,48467,32.5546,-95.8641
195,48469,28.8287,-96.9849
196,48471,30.7009,-95.5567
197,48473,29.7905,-95.8353
198,48475,31.6289,-103.0403
199,48477,30.1584,-96.3966
200,48479,27.5625,-99.4874
201,48481,29.2,-96.2723
202,48483,35.2154,-100.2462
203,48485,33.9072,-98.5291
204,48487,34.1479,-99.3
205,48489,26.4759,-97.7769
206,48491,30.527,-97.6642
207,48493,29.1451,-98.1651
208,48495,31.854,-103.0924
209,48497,33.2263,-97.5875
210,48499,32.6462,-95.4774
211,48503,33.1017,-98.5779
212,48505,26.9026,-99.2612
213,48507,28.6908,-99.8258
