index,STATE,FIPS,COUNTYNAME,area_km2,city,lat,lon,population
85,TX,48189,Hale,2602.215,Plainview,34.1911,-101.7235,27579
86,TX,48191,Hall,2341.6,Memphis,34.7268,-100.5416,2527
87,TX,48193,Hamilton,2166.439,Hamilton,31.6997,-98.1208,4722
88,TX,48197,Hardeman,1805.402,Quanah,34.2954,-99.7428,2706
89,TX,48201,Harris,4553.042,Houston,29.786,-95.3885,6775544
90,TX,48207,Haskell,2357.478,Haskell,33.1597,-99.732,7250
91,TX,48209,Hays,1760.741,San Marcos,29.8734,-97.9356,166115
92,TX,48213,Henderson,2457.877,Athens,32.2041,-95.8321,37955
93,TX,48215,Hidalgo,4099.108,McAllen,26.2252,-98.2467,1397889
94,TX,48217,Hill,2553.022,Hillsboro,32.0093,-97.115,16563
95,TX,48221,Hood,1131.153,Granbury,32.4475,-97.7702,29259
96,TX,48223,Hopkins,2053.259,Sulphur Springs,33.1421,-95.6122,17913
97,TX,48225,Houston,3203.163,Crockett,31.3177,-95.4564,9246
98,TX,48227,Howard,2341.936,Big Spring,32.2389,-101.4799,27508
99,TX,48231,Hunt,2284.707,Greenville,33.1116,-96.1099,51477
100,TX,48235,Irion,2723.487,Mertzon,31.262,-100.8208,819
101,TX,48237,Jack,2383.21,Jacksboro,33.2256,-98.1594,5273
102,TX,48239,Jackson,2206.15,Edna,28.9757,-96.6483,9046
103,TX,48243,Jeff Davis,5863.17,Fort Davis,30.5789,-103.8946,1093
104,TX,48247,Jim Hogg,2942.692,Hebbronville,27.3251,-98.6857,4608
105,TX,48249,Jim Wells,2246.799,Alice,27.7556,-98.0653,28197
106,TX,48251,Johnson,1902.162,Burleson,32.517,-97.3344,121003
107,TX,48253,Jones,2427.234,Hamlin,32.8898,-100.1329,4809
108,TX,48255,Karnes,1951.929,Kenedy,28.8176,-97.8518,8592
109,TX,48257,Kaufman,2089.817,Forney,32.744,-96.4529,96528
110,TX,48259,Kendall,1717.342,Boerne,29.7847,-98.7292,21426
111,TX,48261,Kenedy,3727.105,Sarita,27.2235,-97.7955,46
112,TX,48263,Kent,2338.383,Jayton,33.2502,-100.5748,477
113,TX,48265,Kerr,2868.812,Kerrville,30.0398,-99.132,28492
114,TX,48267,Kimble,3240.131,Junction,30.4906,-99.7726,2439
115,TX,48269,King,2365.631,Guthrie,33.6215,-100.329,141
116,TX,48271,Kinney,3536.257,Brackettville,29.3181,-100.4109,2731
117,TX,48273,Kleberg,2284.86,Kingsville,27.5094,-97.861,26861
118,TX,48275,Knox,2215.636,Munday,33.4471,-99.624,2671
119,TX,48277,Lamar,2415.125,Paris,33.6688,-95.546,32394
120,TX,48281,Lampasas,1849.122,Lampasas,31.064,-98.1824,9535
121,TX,48283,La Salle,3870.171,Cotulla,28.4364,-99.2367,4682
122,TX,48285,Lavaca,2513.097,Yoakum,29.2934,-97.1468,11556
123,TX,48287,Lee,1642.036,Giddings,30.1833,-96.9279,6777
124,TX,48289,Leon,2798.302,Buffalo,31.46,-96.066,6127
125,TX,48293,Limestone,2417.02,Mexia,31.6809,-96.4833,12599
126,TX,48297,Live Oak,2794.34,George West,28.33,-98.1183,4366
127,TX,48299,Llano,2502.591,Kingsland,30.6651,-98.4545,18132
128,TX,48301,Loving,1753.047,Mentone,31.7073,-103.5989,12
129,TX,48303,Lubbock,2333.053,Lubbock,33.5657,-101.8879,302881
130,TX,48305,Lynn,2313.912,Tahoka,33.164,-101.7949,3862
131,TX,48307,McCulloch,2780.043,Brady,31.1322,-99.37,5478
132,TX,48309,McLennan,2745.863,Waco,31.5599,-97.1882,278012
133,TX,48311,McMullen,2959.289,Tilden,28.46,-98.5487,141
134,TX,48313,Madison,1223.754,Madisonville,30.9538,-95.9091,4744
135,TX,48317,Martin,2371.352,Stanton,32.1317,-101.7927,3066
136,TX,48319,Mason,2414.32,Mason,30.748,-99.2288,1993
137,TX,48321,Matagorda,2964.877,Bay City,28.9838,-95.9601,27476
138,TX,48323,Maverick,3345.501,Eagle Pass,28.7125,-100.484,54736
139,TX,48325,Medina,3456.171,Hondo,29.3531,-99.1616,19447
140,TX,48327,Menard,2336.759,Menard,30.9185,-99.7837,1078
141,TX,48329,Midland,2336.053,Midland,32.0243,-102.1147,143714
142,TX,48331,Milam,2646.159,Rockdale,30.6543,-97.0089,13772
143,TX,48333,Mills,1941.986,Goldthwaite,31.4513,-98.5736,2009
144,TX,48335,Mitchell,2372.438,Colorado City,32.3996,-100.8582,5935
145,TX,48337,Montague,2430.588,Bowie,33.5566,-97.844,11178
146,TX,48339,Montgomery,2789.039,The Woodlands,30.1738,-95.5134,253163
147,TX,48345,Motley,2563.658,Matador,34.015,-100.8211,983
148,TX,48347,Nacogdoches,2541.502,Nacogdoches,31.6134,-94.6528,35435
149,TX,48349,Navarro,2813.197,Corsicana,32.0824,-96.4665,34914
150,TX,48353,Nolan,2366.896,Sweetwater,32.4692,-100.4092,12064
151,TX,48355,Nueces,2177.182,Corpus Christi,27.7254,-97.3767,368802
152,TX,48359,Oldham,3888.882,Vega,35.2453,-102.4294,1393
153,TX,48363,Palo Pinto,2552.573,Mineral Wells,32.8169,-98.0776,17698
154,TX,48367,Parker,2357.248,Weatherford,32.7536,-97.7723,62128
155,TX,48369,Parmer,2292.765,Friona,34.6394,-102.723,6965
156,TX,48371,Pecos,12341.185,Fort Stockton,30.8926,-102.8842,10244
157,TX,48375,Potter,2387.812,Amarillo,35.1984,-101.8316,208261
158,TX,48377,Presidio,9989.382,Presidio,29.5603,-104.3653,5544
159,TX,48379,Rains,670.382,Emory,32.8766,-95.7677,3222
160,TX,48381,Randall,2388.963,Canyon,34.9911,-101.919,18609
161,TX,48383,Reagan,3045.767,Big Lake,31.1941,-101.4534,3092
162,TX,48385,Real,1813.044,Camp Wood,29.6691,-100.0108,1434
163,TX,48387,Red River,2737.478,Clarksville,33.611,-95.0563,5576
164,TX,48389,Reeves,6841.879,Balmorhea,30.984,-103.7438,539
165,TX,48391,Refugio,2018.414,Refugio,28.3074,-97.275,5037
166,TX,48393,Roberts,2393.635,Miami,35.6923,-100.6417,469
167,TX,48395,Robertson,2242.162,Hearne,30.877,-96.5956,7810
168,TX,48397,Rockwall,385.072,Rockwall,32.9169,-96.4374,102374
169,TX,48399,Runnels,2737.952,Ballinger,31.7394,-99.9559,7227
170,TX,48401,Rusk,2431.486,Henderson,32.1576,-94.796,22752
171,TX,48409,San Patricio,1825.959,Portland,27.8942,-97.3278,53187
172,TX,48411,San Saba,2948.378,San Saba,31.1975,-98.7194,3314
173,TX,48413,Schleicher,3394.726,Eldorado,30.8617,-100.5979,1793
174,TX,48415,Scurry,2350.668,Snyder,32.7133,-100.9116,11791
175,TX,48417,Shackelford,2371.093,Albany,32.7272,-99.2957,1917
176,TX,48423,Smith,2459.206,Tyler,32.3184,-95.3062,159827
177,TX,48425,Somervell,496.941,Glen Rose,32.2461,-97.7442,2770
