Time,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13,Demand_MW_z14,Demand_MW_z15,Demand_MW_z16,Demand_MW_z17,Demand_MW_z18,Demand_MW_z19,Demand_MW_z20,Demand_MW_z21,Demand_MW_z22,Demand_MW_z23,Demand_MW_z24,Demand_MW_z25,Demand_MW_z26,Demand_MW_z27,Demand_MW_z28,Demand_MW_z29,Demand_MW_z30,Demand_MW_z31,Demand_MW_z32,Demand_MW_z33,Demand_MW_z34,Demand_MW_z35,Demand_MW_z36,Demand_MW_z37,Demand_MW_z38,Demand_MW_z39,Demand_MW_z40,Demand_MW_z41,Demand_MW_z42,Demand_MW_z43,Demand_MW_z44,Demand_MW_z45,Demand_MW_z46,Demand_MW_z47,Demand_MW_z48,Demand_MW_z49,Demand_MW_z50,Demand_MW_z51,Demand_MW_z52,Demand_MW_z53,Demand_MW_z54,Demand_MW_z55,Demand_MW_z56,Demand_MW_z57,Demand_MW_z58,Demand_MW_z59,Demand_MW_z60,Demand_MW_z61,Demand_MW_z62,Demand_MW_z63,Demand_MW_z64
0,1464.17,1225.91,49.51,65.73,1183.63,227.54,168.65,7.12,79.24,19.01,306.54,2.46,9.9,48.95,7.72,38.84,3.44,58.6,0.62,9.72,0.46,7.71,6.64,95.7,99.14,63.44,431.46,550.89,9.51,634.55,31.63,978.08,116.9,181.12,4920.07,758.82,22.26,5.59,27.35,11.83,19.77,465.14,72.16,108.58,129.81,14.42,92.65,42.12,1744.98,20.45,3.97,6.84,2.88,177.09,1.49,10.27,0.2,4.21,0.37,8.69,22.38,21.93,8.32,10.71
1,1402.89,1174.6,47.44,62.98,1134.09,218.02,161.59,6.82,75.92,18.22,293.71,2.36,9.48,46.9,7.4,37.22,3.3,56.15,0.59,9.31,0.44,7.39,6.36,91.7,94.99,60.78,413.4,527.83,9.11,608.0,30.31,937.14,112.01,173.54,4714.15,727.06,21.33,5.35,26.2,11.34,18.94,445.68,69.14,104.04,124.38,13.81,88.77,40.35,1671.94,19.59,3.8,6.56,2.76,169.68,1.43,9.84,0.19,4.03,0.36,8.33,21.44,21.02,7.97,10.26
2,1340.63,1122.47,45.33,60.19,1083.76,208.34,154.42,6.52,72.55,17.41,280.68,2.26,9.06,44.82,7.07,35.57,3.15,53.66,0.57,8.9,0.42,7.06,6.08,87.63,90.78,58.09,395.05,504.41,8.7,581.01,28.96,895.55,107.04,165.83,4504.93,694.79,20.38,5.11,25.04,10.83,18.1,425.9,66.07,99.42,118.86,13.2,84.83,38.56,1597.74,18.72,3.63,6.27,2.64,162.15,1.36,9.4,0.19,3.85,0.34,7.96,20.49,20.08,7.61,9.81
3,1279.33,1071.15,43.26,57.43,1034.2,198.82,147.36,6.22,69.23,16.61,267.84,2.15,8.65,42.77,6.75,33.94,3.01,51.21,0.54,8.49,0.41,6.74,5.8,83.62,86.63,55.43,376.99,481.34,8.31,554.44,27.64,854.6,102.14,158.25,4298.93,663.02,19.45,4.88,23.89,10.34,17.28,406.42,63.05,94.87,113.42,12.6,80.95,36.8,1524.68,17.87,3.47,5.98,2.52,154.73,1.3,8.97,0.18,3.68,0.33,7.6,19.55,19.17,7.27,9.36
4,1215.62,1017.81,41.11,54.57,982.71,188.92,140.02,5.91,65.79,15.79,254.5,2.04,8.22,40.64,6.41,32.25,2.86,48.66,0.51,8.07,0.39,6.41,5.51,79.46,82.31,52.67,358.22,457.37,7.89,526.84,26.26,812.04,97.06,150.37,4084.87,630.01,18.48,4.64,22.7,9.82,16.42,386.18,59.91,90.15,107.77,11.97,76.92,34.97,1448.76,16.98,3.3,5.68,2.39,147.03,1.24,8.52,0.17,3.49,0.31,7.22,18.58,18.21,6.9,8.89
5,1158.28,969.8,39.17,52.0,936.35,180.01,133.41,5.63,62.68,15.04,242.5,1.95,7.83,38.72,6.11,30.73,2.72,46.36,0.49,7.69,0.37,6.1,5.25,75.71,78.43,50.19,341.32,435.8,7.52,501.99,25.02,773.74,92.48,143.28,3892.19,600.29,17.61,4.42,21.63,9.36,15.64,367.97,57.08,85.9,102.69,11.41,73.29,33.32,1380.42,16.18,3.14,5.41,2.28,140.09,1.18,8.12,0.16,3.33,0.3,6.88,17.7,17.35,6.58,8.47
6,1114.59,933.21,37.69,50.04,901.03,173.22,128.38,5.42,60.32,14.47,233.35,1.87,7.53,37.26,5.88,29.57,2.62,44.61,0.47,7.4,0.35,5.87,5.05,72.85,75.47,48.29,328.44,419.36,7.24,483.05,24.08,744.55,88.99,137.87,3745.36,577.64,16.94,4.25,20.82,9.01,15.05,354.09,54.93,82.66,98.82,10.98,70.53,32.06,1328.35,15.57,3.02,5.21,2.19,134.81,1.13,7.81,0.15,3.2,0.29,6.62,17.03,16.7,6.33,8.15
7,1091.27,913.7,36.9,48.99,882.18,169.59,125.7,5.31,59.06,14.17,228.47,1.84,7.38,36.48,5.76,28.95,2.57,43.68,0.46,7.25,0.35,5.75,4.95,71.33,73.89,47.28,321.57,410.59,7.09,472.94,23.58,728.98,87.13,134.99,3667.02,565.56,16.59,4.16,20.38,8.82,14.74,346.68,53.78,80.93,96.75,10.75,69.05,31.39,1300.56,15.24,2.96,5.1,2.15,131.99,1.11,7.65,0.15,3.14,0.28,6.48,16.68,16.35,6.2,7.98
8,1090.08,912.69,36.86,48.94,881.22,169.41,125.56,5.3,58.99,14.16,228.22,1.83,7.37,36.44,5.75,28.92,2.56,43.63,0.46,7.24,0.35,5.74,4.94,71.25,73.81,47.23,321.22,410.14,7.08,472.43,23.55,728.18,87.03,134.84,3663.0,564.94,16.57,4.16,20.36,8.81,14.72,346.3,53.72,80.84,96.64,10.73,68.97,31.36,1299.14,15.22,2.96,5.09,2.15,131.84,1.11,7.64,0.15,3.13,0.28,6.47,16.66,16.33,6.19,7.97
9,1104.85,925.06,37.36,49.6,893.15,171.7,127.26,5.37,59.79,14.35,231.31,1.86,7.47,36.94,5.83,29.31,2.6,44.22,0.47,7.34,0.35,5.82,5.01,72.22,74.81,47.87,325.57,415.69,7.17,478.83,23.87,738.04,88.21,136.67,3712.62,572.59,16.79,4.21,20.63,8.93,14.92,350.99,54.45,81.93,97.95,10.88,69.91,31.78,1316.74,15.43,3.0,5.16,2.17,133.63,1.12,7.75,0.15,3.18,0.28,6.56,16.89,16.55,6.27,8.08
10,1125.86,942.65,38.07,50.54,910.14,174.97,129.68,5.47,60.93,14.62,235.71,1.89,7.61,37.64,5.94,29.87,2.65,45.06,0.47,7.47,0.36,5.93,5.1,73.59,76.24,48.78,331.77,423.6,7.31,487.93,24.32,752.08,89.89,139.27,3783.25,583.49,17.11,4.29,21.03,9.1,15.2,357.67,55.48,83.49,99.82,11.09,71.24,32.38,1341.78,15.72,3.05,5.26,2.22,136.17,1.14,7.89,0.16,3.24,0.29,6.68,17.21,16.87,6.39,8.23
11,1154.4,966.55,39.04,51.83,933.22,179.4,132.97,5.61,62.47,14.99,241.69,1.94,7.8,38.59,6.09,30.63,2.71,46.21,0.49,7.66,0.37,6.08,5.23,75.46,78.17,50.02,340.18,434.34,7.5,500.3,24.94,771.15,92.17,142.8,3879.16,598.28,17.55,4.4,21.56,9.33,15.59,366.74,56.89,85.61,102.35,11.37,73.04,33.21,1375.8,16.12,3.13,5.39,2.27,139.62,1.17,8.09,0.16,3.32,0.3,6.85,17.64,17.29,6.56,8.44
12,1188.93,995.46,40.2,53.38,961.13,184.77,136.94,5.78,64.34,15.44,248.92,2.0,8.04,39.75,6.27,31.54,2.79,47.59,0.5,7.89,0.38,6.26,5.39,77.71,80.51,51.51,350.35,447.33,7.72,515.27,25.69,794.21,94.92,147.07,3995.17,616.17,18.07,4.54,22.2,9.61,16.05,377.7,58.59,88.17,105.41,11.71,75.23,34.2,1416.95,16.61,3.22,5.56,2.34,143.8,1.21,8.34,0.16,3.42,0.3,7.06,18.17,17.81,6.75,8.7
13,1272.59,1065.51,43.03,57.13,1028.76,197.77,146.58,6.19,68.87,16.53,266.43,2.14,8.6,42.55,6.71,33.76,2.99,50.94,0.54,8.45,0.4,6.71,5.77,83.18,86.17,55.14,375.0,478.81,8.26,551.53,27.49,850.1,101.6,157.42,4276.3,659.53,19.34,4.85,23.77,10.28,17.18,404.28,62.71,94.37,112.82,12.53,80.52,36.6,1516.65,17.77,3.45,5.95,2.5,153.92,1.29,8.92,0.18,3.66,0.33,7.56,19.45,19.06,7.23,9.31
14,1312.25,1098.71,44.37,58.91,1060.82,203.93,151.15,6.38,71.02,17.04,274.73,2.21,8.87,43.87,6.92,34.81,3.08,52.52,0.55,8.71,0.42,6.91,5.95,85.77,88.86,56.86,386.69,493.73,8.52,568.71,28.35,876.59,104.77,162.32,4409.57,680.08,19.95,5.01,24.51,10.6,17.72,416.88,64.67,97.32,116.34,12.92,83.03,37.75,1563.92,18.33,3.56,6.13,2.58,158.71,1.33,9.2,0.18,3.77,0.34,7.79,20.06,19.66,7.45,9.6
15,1318.78,1104.18,44.59,59.21,1066.1,204.95,151.9,6.41,71.37,17.12,276.1,2.22,8.91,44.09,6.95,34.99,3.1,52.79,0.56,8.76,0.42,6.95,5.98,86.2,89.3,57.14,388.62,496.19,8.56,571.54,28.49,880.96,105.29,163.13,4431.52,683.47,20.05,5.03,24.63,10.66,17.81,418.96,64.99,97.8,116.92,12.99,83.45,37.93,1571.7,18.42,3.58,6.16,2.6,159.5,1.34,9.25,0.18,3.79,0.34,7.83,20.16,19.76,7.49,9.65
16,1317.44,1103.06,44.55,59.15,1065.02,204.74,151.75,6.41,71.3,17.11,275.82,2.22,8.9,44.05,6.95,34.95,3.1,52.73,0.56,8.75,0.42,6.94,5.97,86.11,89.21,57.08,388.22,495.68,8.55,570.96,28.46,880.06,105.19,162.97,4427.02,682.77,20.03,5.03,24.6,10.65,17.79,418.53,64.92,97.7,116.8,12.97,83.36,37.9,1570.11,18.4,3.57,6.16,2.59,159.34,1.34,9.24,0.18,3.79,0.34,7.82,20.13,19.74,7.48,9.64
17,1315.34,1101.3,44.48,59.05,1063.32,204.42,151.5,6.39,71.18,17.08,275.38,2.21,8.89,43.98,6.94,34.9,3.09,52.65,0.55,8.73,0.42,6.93,5.96,85.98,89.07,56.99,387.6,494.89,8.54,570.05,28.42,878.66,105.02,162.71,4419.97,681.69,19.99,5.02,24.57,10.63,17.76,417.86,64.82,97.55,116.61,12.95,83.23,37.83,1567.61,18.37,3.57,6.15,2.59,159.09,1.34,9.22,0.18,3.78,0.34,7.81,20.1,19.7,7.47,9.62
18,1317.19,1102.84,44.54,59.13,1064.81,204.7,151.72,6.4,71.28,17.1,275.77,2.22,8.9,44.04,6.95,34.94,3.1,52.72,0.56,8.74,0.42,6.94,5.97,86.1,89.19,57.07,388.14,495.58,8.55,570.85,28.46,879.89,105.16,162.93,4426.15,682.64,20.02,5.02,24.6,10.64,17.79,418.45,64.91,97.68,116.78,12.97,83.34,37.89,1569.8,18.4,3.57,6.16,2.59,159.31,1.34,9.23,0.18,3.79,0.34,7.82,20.13,19.73,7.48,9.63
19,1319.41,1104.71,44.62,59.23,1066.61,205.05,151.97,6.41,71.4,17.13,276.23,2.22,8.92,44.11,6.96,35.0,3.1,52.81,0.56,8.76,0.42,6.95,5.98,86.24,89.34,57.17,388.8,496.42,8.57,571.82,28.51,881.37,105.34,163.21,4433.62,683.79,20.06,5.03,24.64,10.66,17.82,419.15,65.02,97.85,116.98,12.99,83.49,37.95,1572.45,18.43,3.58,6.17,2.6,159.58,1.34,9.25,0.18,3.79,0.34,7.83,20.16,19.77,7.49,9.65
20,1326.15,1110.35,44.84,59.54,1072.05,206.09,152.75,6.45,71.77,17.22,277.64,2.23,8.96,44.34,6.99,35.18,3.12,53.08,0.56,8.8,0.42,6.99,6.01,86.68,89.8,57.46,390.78,498.96,8.61,574.73,28.65,885.87,105.88,164.04,4456.26,687.28,20.16,5.06,24.77,10.72,17.91,421.29,65.35,98.35,117.57,13.06,83.91,38.15,1580.48,18.52,3.6,6.2,2.61,160.39,1.35,9.3,0.18,3.81,0.34,7.87,20.27,19.87,7.53,9.7
21,1384.35,1159.08,46.81,62.15,1119.11,215.14,159.45,6.73,74.92,17.98,289.83,2.33,9.36,46.28,7.3,36.73,3.25,55.41,0.58,9.19,0.44,7.29,6.28,90.49,93.74,59.98,407.94,520.86,8.99,599.96,29.91,924.76,110.53,171.24,4651.85,717.45,21.04,5.28,25.85,11.19,18.69,439.79,68.22,102.66,122.73,13.63,87.59,39.82,1649.85,19.33,3.75,6.47,2.72,167.43,1.41,9.71,0.19,3.98,0.35,8.22,21.16,20.74,7.86,10.13
22,1437.56,1203.63,48.61,64.54,1162.12,223.41,165.58,6.99,77.8,18.67,300.97,2.42,9.72,48.06,7.58,38.14,3.38,57.54,0.61,9.54,0.46,7.57,6.52,93.96,97.34,62.29,423.62,540.88,9.33,623.02,31.06,960.3,114.78,177.82,4830.66,745.03,21.85,5.48,26.85,11.62,19.41,456.69,70.84,106.61,127.45,14.16,90.96,41.35,1713.27,20.08,3.9,6.72,2.83,173.87,1.46,10.08,0.2,4.13,0.37,8.53,21.97,21.54,8.16,10.51
23,1479.09,1238.4,50.01,66.4,1195.69,229.86,170.36,7.19,80.04,19.21,309.66,2.49,10.0,49.45,7.8,39.24,3.48,59.2,0.62,9.82,0.47,7.79,6.71,96.68,100.15,64.09,435.85,556.5,9.6,641.02,31.96,988.04,118.09,182.96,4970.19,766.55,22.48,5.64,27.62,11.95,19.97,469.88,72.89,109.69,131.13,14.57,93.59,42.54,1762.75,20.66,4.01,6.91,2.91,178.89,1.5,10.37,0.2,4.25,0.38,8.78,22.61,22.16,8.4,10.82
24,1608.31,1346.6,54.38,72.2,1300.16,249.94,185.25,7.82,87.04,20.88,336.72,2.71,10.87,53.77,8.48,42.67,3.78,64.37,0.68,10.68,0.51,8.47,7.29,105.13,108.9,69.69,473.93,605.12,10.44,697.02,34.75,1074.36,128.41,198.95,5404.43,833.52,24.45,6.14,30.04,13.0,21.72,510.93,79.26,119.27,142.59,15.84,101.77,46.26,1916.76,22.46,4.36,7.52,3.17,194.52,1.63,11.28,0.22,4.62,0.41,9.55,24.58,24.09,9.13,11.76
25,1532.75,1283.33,51.83,68.81,1239.07,238.2,176.55,7.45,82.95,19.9,320.9,2.58,10.36,51.24,8.08,40.66,3.6,61.35,0.65,10.18,0.49,8.08,6.95,100.19,103.79,66.41,451.67,576.69,9.95,664.28,33.11,1023.89,122.38,189.6,5150.52,794.36,23.3,5.85,28.63,12.39,20.7,486.93,75.54,113.67,135.89,15.09,96.98,44.09,1826.71,21.41,4.16,7.16,3.02,185.38,1.56,10.75,0.21,4.41,0.39,9.1,23.43,22.96,8.71,11.21
26,1455.95,1219.03,49.23,65.36,1176.98,226.27,167.7,7.08,78.79,18.91,304.82,2.45,9.84,48.68,7.68,38.63,3.42,58.28,0.61,9.67,0.46,7.67,6.6,95.17,98.59,63.08,429.03,547.79,9.45,630.99,31.46,972.58,116.24,180.1,4892.43,754.56,22.13,5.55,27.19,11.76,19.66,462.53,71.75,107.97,129.08,14.34,92.12,41.88,1735.17,20.33,3.95,6.8,2.87,176.09,1.48,10.21,0.2,4.19,0.37,8.64,22.25,21.81,8.27,10.65
27,1378.14,1153.88,46.6,61.87,1114.09,214.17,158.74,6.7,74.58,17.9,288.53,2.32,9.31,46.08,7.27,36.56,3.24,55.16,0.58,9.15,0.44,7.26,6.25,90.08,93.32,59.71,406.11,518.52,8.95,597.27,29.77,920.61,110.03,170.47,4630.99,714.23,20.95,5.26,25.74,11.14,18.61,437.81,67.92,102.2,122.18,13.57,87.2,39.64,1642.45,19.25,3.74,6.44,2.71,166.68,1.4,9.66,0.19,3.96,0.35,8.18,21.06,20.65,7.83,10.08
28,1298.81,1087.46,43.92,58.31,1049.95,201.85,149.6,6.31,70.29,16.87,271.92,2.18,8.78,43.42,6.85,34.46,3.05,51.99,0.55,8.62,0.41,6.84,5.89,84.89,87.95,56.28,382.73,488.67,8.43,562.89,28.06,867.61,103.7,160.66,4364.4,673.12,19.74,4.95,24.26,10.5,17.54,412.61,64.01,96.32,115.15,12.79,82.18,37.36,1547.9,18.14,3.52,6.07,2.56,157.09,1.32,9.11,0.18,3.73,0.33,7.71,19.85,19.46,7.38,9.5
29,1217.68,1019.53,41.18,54.67,984.37,189.24,140.26,5.92,65.9,15.81,254.93,2.05,8.23,40.71,6.42,32.3,2.86,48.74,0.51,8.08,0.39,6.42,5.52,79.59,82.45,52.76,358.82,458.15,7.91,527.73,26.31,813.42,97.22,150.63,4091.79,631.07,18.51,4.65,22.74,9.84,16.44,386.84,60.01,90.3,107.96,11.99,77.05,35.03,1451.21,17.01,3.3,5.69,2.4,147.28,1.24,8.54,0.17,3.5,0.31,7.23,18.61,18.24,6.92,8.91
30,1152.04,964.58,38.96,51.72,931.31,179.04,132.7,5.6,62.35,14.96,241.19,1.94,7.79,38.52,6.08,30.56,2.71,46.11,0.49,7.65,0.36,6.07,5.22,75.3,78.01,49.92,339.48,433.45,7.48,499.28,24.89,769.57,91.98,142.51,3871.23,597.06,17.51,4.39,21.52,9.31,15.56,365.99,56.77,85.43,102.14,11.34,72.9,33.14,1372.99,16.09,3.12,5.38,2.27,139.34,1.17,8.08,0.16,3.31,0.29,6.84,17.61,17.26,6.54,8.43
31,1134.81,950.15,38.37,50.95,917.38,176.36,130.71,5.52,61.41,14.74,237.58,1.91,7.67,37.94,5.98,30.11,2.67,45.42,0.48,7.53,0.36,5.98,5.14,74.18,76.84,49.17,334.4,426.97,7.37,491.81,24.52,758.06,90.6,140.37,3813.31,588.12,17.25,4.33,21.19,9.17,15.32,360.51,55.92,84.16,100.61,11.17,71.8,32.64,1352.45,15.85,3.08,5.3,2.23,137.25,1.15,7.96,0.16,3.26,0.29,6.74,17.34,17.0,6.45,8.3
32,1142.18,956.31,38.62,51.28,923.33,177.5,131.56,5.55,61.81,14.83,239.13,1.92,7.72,38.19,6.02,30.3,2.68,45.72,0.48,7.58,0.36,6.02,5.18,74.66,77.34,49.49,336.57,429.74,7.42,495.01,24.68,762.98,91.19,141.29,3838.07,591.94,17.36,4.36,21.33,9.23,15.42,362.85,56.29,84.7,101.26,11.25,72.27,32.85,1361.23,15.95,3.1,5.34,2.25,138.14,1.16,8.01,0.16,3.28,0.29,6.78,17.46,17.11,6.49,8.35
33,1171.34,980.73,39.61,52.59,946.91,182.04,134.92,5.69,63.39,15.21,245.23,1.97,7.92,39.16,6.18,31.08,2.75,46.88,0.49,7.78,0.37,6.17,5.31,76.56,79.31,50.75,345.17,440.71,7.61,507.64,25.31,782.46,93.52,144.89,3936.06,607.05,17.81,4.47,21.88,9.47,15.82,372.12,57.72,86.87,103.85,11.53,74.12,33.69,1395.98,16.36,3.18,5.47,2.31,141.67,1.19,8.21,0.16,3.37,0.3,6.95,17.9,17.55,6.65,8.57
34,1200.4,1005.06,40.59,53.89,970.4,186.55,138.27,5.84,64.96,15.59,251.32,2.02,8.11,40.13,6.33,31.85,2.82,48.05,0.51,7.97,0.38,6.33,5.44,78.46,81.28,52.01,353.73,451.64,7.79,520.24,25.93,801.87,95.84,148.49,4033.72,622.12,18.25,4.58,22.42,9.7,16.21,381.35,59.16,89.02,106.42,11.82,75.96,34.53,1430.62,16.77,3.25,5.61,2.36,145.19,1.22,8.42,0.17,3.45,0.31,7.13,18.35,17.98,6.82,8.78
35,1228.22,1028.36,41.53,55.14,992.89,190.88,141.47,5.97,66.47,15.95,257.14,2.07,8.3,41.06,6.48,32.58,2.89,49.16,0.52,8.15,0.39,6.47,5.57,80.28,83.17,53.22,361.93,462.11,7.97,532.3,26.54,820.46,98.06,151.93,4127.21,636.54,18.67,4.69,22.94,9.92,16.59,390.19,60.53,91.08,108.89,12.09,77.72,35.33,1463.78,17.15,3.33,5.74,2.42,148.55,1.25,8.61,0.17,3.53,0.31,7.29,18.77,18.4,6.98,8.98
36,1258.52,1053.72,42.56,56.5,1017.38,195.58,144.96,6.12,68.11,16.34,263.48,2.12,8.51,42.08,6.64,33.39,2.96,50.37,0.53,8.36,0.4,6.63,5.71,82.26,85.22,54.53,370.86,473.51,8.17,545.43,27.19,840.7,100.48,155.68,4229.01,652.24,19.13,4.8,23.5,10.17,16.99,399.81,62.02,93.33,111.58,12.39,79.63,36.2,1499.88,17.58,3.41,5.88,2.48,152.21,1.28,8.82,0.17,3.62,0.32,7.47,19.23,18.85,7.15,9.21
37,1377.63,1153.45,46.58,61.85,1113.67,214.09,158.68,6.7,74.55,17.89,288.42,2.32,9.31,46.06,7.27,36.55,3.24,55.14,0.58,9.15,0.44,7.26,6.25,90.05,93.28,59.69,405.96,518.33,8.94,597.05,29.76,920.27,109.99,170.41,4629.26,713.97,20.94,5.26,25.73,11.13,18.6,437.65,67.89,102.16,122.14,13.57,87.17,39.63,1641.84,19.24,3.73,6.44,2.71,166.62,1.4,9.66,0.19,3.96,0.35,8.18,21.05,20.64,7.82,10.08
38,1389.9,1163.73,47.0,62.4,1123.59,216.0,160.09,6.76,75.22,18.05,290.99,2.34,9.39,46.47,7.33,36.87,3.27,55.63,0.59,9.23,0.44,7.32,6.3,90.85,94.11,60.22,409.57,522.94,9.02,602.37,30.03,928.46,110.97,171.93,4670.5,720.33,21.13,5.3,25.96,11.23,18.77,441.55,68.5,103.07,123.22,13.69,87.95,39.98,1656.46,19.41,3.77,6.5,2.74,168.1,1.41,9.74,0.19,4.0,0.36,8.25,21.24,20.82,7.89,10.17
39,1367.97,1145.36,46.26,61.41,1105.86,212.59,157.57,6.65,74.03,17.76,286.4,2.3,9.25,45.73,7.21,36.29,3.22,54.75,0.58,9.08,0.43,7.21,6.2,89.42,92.63,59.27,403.11,514.69,8.88,592.86,29.55,913.81,109.22,169.21,4596.79,708.96,20.79,5.22,25.55,11.05,18.47,434.58,67.41,101.45,121.28,13.47,86.56,39.35,1630.32,19.11,3.71,6.39,2.69,165.45,1.39,9.59,0.19,3.93,0.35,8.12,20.91,20.49,7.77,10.01
40,1340.25,1122.15,45.32,60.17,1083.45,208.29,154.37,6.52,72.53,17.4,280.59,2.25,9.06,44.81,7.07,35.56,3.15,53.64,0.57,8.9,0.42,7.06,6.08,87.6,90.75,58.07,394.94,504.26,8.7,580.85,28.96,895.29,107.01,165.79,4503.64,694.59,20.37,5.11,25.03,10.83,18.1,425.77,66.05,99.39,118.82,13.2,84.8,38.55,1597.28,18.72,3.63,6.26,2.64,162.1,1.36,9.4,0.19,3.85,0.34,7.96,20.48,20.08,7.61,9.8
41,1318.1,1103.61,44.57,59.18,1065.55,204.84,151.82,6.41,71.33,17.12,275.96,2.22,8.91,44.07,6.95,34.97,3.1,52.76,0.56,8.75,0.42,6.95,5.98,86.16,89.25,57.11,388.42,495.93,8.56,571.25,28.48,880.5,105.24,163.05,4429.24,683.12,20.04,5.03,24.62,10.65,17.8,418.74,64.96,97.75,116.86,12.98,83.4,37.91,1570.9,18.41,3.57,6.16,2.59,159.42,1.34,9.24,0.18,3.79,0.34,7.83,20.14,19.75,7.49,9.64
42,1303.47,1091.36,44.08,58.52,1053.72,202.57,150.14,6.34,70.54,16.93,272.89,2.19,8.81,43.58,6.87,34.58,3.06,52.17,0.55,8.65,0.41,6.87,5.91,85.2,88.26,56.48,384.1,490.42,8.46,564.91,28.16,870.72,104.07,161.24,4380.05,675.53,19.81,4.97,24.34,10.53,17.6,414.09,64.24,96.66,115.56,12.84,82.48,37.49,1553.45,18.21,3.53,6.09,2.57,157.65,1.32,9.14,0.18,3.75,0.33,7.74,19.92,19.53,7.4,9.53
43,1298.29,1087.02,43.9,58.29,1049.53,201.76,149.54,6.31,70.26,16.86,271.81,2.18,8.78,43.41,6.85,34.44,3.05,51.96,0.55,8.62,0.41,6.84,5.89,84.86,87.91,56.25,382.58,488.47,8.43,562.66,28.05,867.26,103.66,160.6,4362.65,672.85,19.74,4.95,24.25,10.49,17.53,412.44,63.98,96.28,115.1,12.78,82.15,37.34,1547.28,18.13,3.52,6.07,2.56,157.02,1.32,9.1,0.18,3.73,0.33,7.71,19.84,19.45,7.37,9.5
44,1303.83,1091.67,44.09,58.53,1054.02,202.63,150.18,6.34,70.56,16.93,272.97,2.19,8.81,43.59,6.88,34.59,3.06,52.19,0.55,8.66,0.41,6.87,5.91,85.22,88.29,56.49,384.21,490.56,8.47,565.07,28.17,870.97,104.1,161.28,4381.29,675.72,19.82,4.97,24.35,10.54,17.61,414.21,64.25,96.69,115.59,12.84,82.5,37.5,1553.89,18.21,3.53,6.09,2.57,157.7,1.32,9.14,0.18,3.75,0.33,7.74,19.93,19.53,7.41,9.54
45,1354.86,1134.39,45.81,60.83,1095.27,210.56,156.06,6.59,73.32,17.59,283.66,2.28,9.16,45.3,7.15,35.94,3.18,54.23,0.57,8.99,0.43,7.14,6.14,88.56,91.74,58.7,399.25,509.76,8.8,587.18,29.27,905.06,108.17,167.59,4552.76,702.17,20.6,5.17,25.3,10.95,18.3,430.42,66.77,100.48,120.12,13.34,85.73,38.97,1614.7,18.92,3.67,6.33,2.67,163.87,1.38,9.5,0.19,3.89,0.35,8.04,20.71,20.3,7.69,9.91
46,1401.34,1173.31,47.39,62.91,1132.84,217.78,161.41,6.81,75.84,18.2,293.39,2.36,9.47,46.85,7.39,37.18,3.29,56.09,0.59,9.3,0.44,7.38,6.35,91.6,94.89,60.72,412.94,527.25,9.1,607.33,30.28,936.11,111.88,173.34,4708.95,726.26,21.3,5.35,26.17,11.32,18.92,445.18,69.06,103.92,124.24,13.8,88.67,40.31,1670.1,19.57,3.8,6.55,2.76,169.49,1.42,9.82,0.19,4.03,0.36,8.32,21.42,20.99,7.96,10.25
47,1425.15,1193.24,48.19,63.98,1152.09,221.48,164.15,6.93,77.13,18.51,298.37,2.4,9.63,47.65,7.52,37.81,3.35,57.04,0.6,9.46,0.45,7.51,6.46,93.15,96.5,61.75,419.96,536.21,9.25,617.64,30.79,952.01,113.78,176.29,4788.96,738.6,21.66,5.44,26.62,11.52,19.24,452.75,70.23,105.69,126.35,14.03,90.18,40.99,1698.47,19.9,3.86,6.66,2.8,172.37,1.45,9.99,0.2,4.1,0.36,8.46,21.78,21.35,8.09,10.42
48,1553.81,1300.96,52.54,69.76,1256.09,241.47,178.97,7.55,84.09,20.18,325.31,2.61,10.5,51.95,8.19,41.22,3.65,62.19,0.66,10.32,0.49,8.19,7.04,101.56,105.21,67.32,457.87,584.61,10.09,673.4,33.57,1037.95,124.06,192.2,5221.28,805.27,23.62,5.93,29.02,12.56,20.98,493.62,76.57,115.23,137.76,15.3,98.32,44.69,1851.8,21.7,4.21,7.26,3.06,187.93,1.58,10.89,0.21,4.47,0.4,9.22,23.75,23.28,8.82,11.36
49,1473.99,1234.14,49.84,66.17,1191.57,229.07,169.78,7.17,79.77,19.14,308.6,2.48,9.96,49.28,7.77,39.1,3.46,59.0,0.62,9.79,0.47,7.77,6.68,96.35,99.81,63.87,434.35,554.58,9.57,638.81,31.85,984.64,117.68,182.33,4953.07,763.91,22.41,5.62,27.53,11.91,19.9,468.26,72.64,109.31,130.68,14.51,93.27,42.4,1756.68,20.59,4.0,6.89,2.9,178.28,1.5,10.33,0.2,4.24,0.38,8.75,22.53,22.08,8.37,10.78
