ISO,inv_sce,nNodes,ny,ensid,in_sample_year_list,num_rep_days,RPS,line limit rate,CRM reserve,run time(s),greenfield_vRE,greenfield_thermal,greenfield_line,greenfield_storage,VRE_expansion_allowed,thermal_expansion_allowed,line_expansion_allowed,storage_expansion_allowed,total system cost,vRE_est_cost,vRE_FOM_cost,solar-UPV_total_cap,solar-UPV_new_cap,solar-UPV_FOM_cost,solar-UPV_gen,solar-UPV_est_cost,wind-onshore_total_cap,wind-onshore_new_cap,wind-onshore_FOM_cost,wind-onshore_gen,wind-onshore_est_cost,thermal_est_cost,thermal_FOM_cost,thermal_VOM_cost,CCGT_total_cap,CCGT_new_cap,CCGT_FOM_cost,CCGT_gen,CCGT_est_cost,gas fuel cost,Line_total_cap,Line_new_cap,Line_num,Line_FOM_cost,Line_est_cost,Line_flow,storage_total_cap,storage_new_cap,storage_FOM_cost,storage_est_cost,shed load,shedding cost,total generation,storage_charge,storage_discharge,total demand
ERCOT,historic,214,2,10,"[np.int64(2006), np.int64(2002)]",730,1,100,0,19351.51209,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.01E+11,26179041472,6336301513,98005.25819,98005.25819,2352126197,254463721.5,10785869921,124505.4786,124505.4786,3984175317,548230806.6,15393171551,0,0,0,0,0,0,0,0,0,393656.2002,393656.2002,459,0,1605911463,3314332363,66382.16537,66382.16537,3197960817,13343489764,0.000853483,85.34826467,802694528.1,553760927.9,468652373.8,717585974.1
ERCOT,historic,214,2,11,"[np.int64(2006), np.int64(2009)]",730,1,100,0,19688.29637,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.15E+11,26480171827,6368189080,108273.5517,108273.5517,2598565241,286763750.9,11915936614,117800.745,117800.745,3769623839,540714772.8,14564235213,0,0,0,0,0,0,0,0,0,470288.7005,470288.7005,459,0,1752498631,4178931289,77409.06819,77409.06819,3729181860,15560009278,75907.49008,7590749008,827478523.6,689954243.6,583996410.4,721596598
ERCOT,historic,214,2,12,"[np.int64(2006), np.int64(2017)]",730,1,100,0,15496.05044,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.07E+11,26132593080,6260648638,112192.7367,112192.7367,2692625681,302055729.3,12347258573,111500.7174,111500.7174,3568022957,509512882.4,13785334507,0,0,0,0,0,0,0,0,0,418141.3163,418141.3163,459,0,1602757710,3638461254,77700.1201,77700.1201,3743203286,15618513668,0.00452802,452.8020476,811568611.6,616303875.1,521605449.8,716870186.3
ERCOT,historic,214,2,13,"[np.int64(2006), np.int64(2004)]",730,1,100,0,19483.7869,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.10E+11,24537869050,5777856026,127807.9774,127807.9774,3067391456,412406393.6,14065778143,84702.0178,84702.0178,2710464570,409354388.9,10472090907,0,0,0,0,0,0,0,0,0,402864.6245,402864.6245,459,0,1648959480,3655157525,92367.59437,92367.59437,4449808859,18566825036,0.011469298,1146.929783,821760782.4,698615594,591277910.3,714423098.7
ERCOT,historic,214,2,14,"[np.int64(2006), np.int64(2014)]",730,1,100,0,20889.71666,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,99895080279,27089445270,6644119714,81911.43315,81911.43315,1965874396,184398458.7,9014680225,146195.1662,146195.1662,4678245319,614170179.2,18074765045,0,0,0,0,0,0,0,0,0,467595.018,467595.018,459,0,1813113818,3861457104,57791.80918,57791.80918,2784120407,11616740881,0.000981818,98.18178039,798568638,503607123.7,426268975.3,721230489.5
ERCOT,historic,214,2,15,"[np.int64(2006), np.int64(2016)]",730,1,100,0,21053.13291,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.11E+11,26642520186,6373278364,116507.8833,116507.8833,2796189198,319824582.4,12822157675,111784.0364,111784.0364,3577089166,499450538.2,13820362511,0,0,0,0,0,0,0,0,0,348075.0506,348075.0506,459,0,1372892878,3167746052,84598.16638,84598.16638,4075516665,17005091062,0.000244148,24.41476324,819275120.6,666227090.1,563940486.7,716988517.2
ERCOT,historic,214,2,16,"[np.int64(2006), np.int64(2018)]",730,1,100,0,24923.12018,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.24E+11,28649790504,6857542916,124372.3538,124372.3538,2984936491,319352812.9,13687674053,121018.9508,121018.9508,3872606425,525812939.4,14962116451,0,0,0,0,0,0,0,0,0,389699.8371,389699.8371,459,0,1543859227,3531819183,93264.14634,93264.14634,4493000250,18747041093,30654.20709,3065420709,845165752.3,762387340.2,645307311.6,728116377.9
ERCOT,historic,214,2,17,"[np.int64(2012), np.int64(2002)]",730,1,100,0,19704.25009,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.04E+11,27072914729,6587518127,93577.67599,93577.67599,2245864224,229816097.9,10298596824,135676.6845,135676.6845,4341653904,578326005.9,16774317906,0,0,0,0,0,0,0,0,0,411596.1093,411596.1093,459,0,1600669107,3296362068,66739.48861,66739.48861,3215174864,13415315365,0.001032606,103.260621,808142103.7,578399007.2,489498650.3,719241746.8
ERCOT,historic,214,2,18,"[np.int64(2012), np.int64(2009)]",730,1,100,0,21260.1528,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.16E+11,27213643783,6554850550,108982.8514,108982.8514,2615588433,281664157.9,11993997875,123101.9412,123101.9412,3939262117,540583788.1,15219645908,0,0,0,0,0,0,0,0,0,484241.6676,484241.6676,459,0,1778943701,4008804745,76272.38278,76272.38278,3674422040,15331523959,73839.0157,7383901570,822247946,645215272.6,546145858.3,723252370.7
ERCOT,historic,214,2,19,"[np.int64(2012), np.int64(2017)]",730,1,100,0,19676.91189,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.08E+11,27597823374,6656580344,108471.4638,108471.4638,2603315131,265355260.8,11937717632,126664.5379,126664.5379,4053265212,549803833.1,15660105742,0,0,0,0,0,0,0,0,0,421967.1061,421967.1061,459,0,1610749565,3395289809,71799.21141,71799.21141,3458927009,14432371060,0.005445664,544.5664213,815159093.9,628787324.3,532154189.5,718525959
