ISO,inv_sce,nNodes,ny,ensid,in_sample_year_list,num_rep_days,RPS,line limit rate,CRM reserve,run time(s),greenfield_vRE,greenfield_thermal,greenfield_line,greenfield_storage,VRE_expansion_allowed,thermal_expansion_allowed,line_expansion_allowed,storage_expansion_allowed,total system cost,vRE_est_cost,vRE_FOM_cost,solar-UPV_total_cap,solar-UPV_new_cap,solar-UPV_FOM_cost,solar-UPV_gen,solar-UPV_est_cost,wind-onshore_total_cap,wind-onshore_new_cap,wind-onshore_FOM_cost,wind-onshore_gen,wind-onshore_est_cost,thermal_est_cost,thermal_FOM_cost,thermal_VOM_cost,CCGT_total_cap,CCGT_new_cap,CCGT_FOM_cost,CCGT_gen,CCGT_est_cost,gas fuel cost,Line_total_cap,Line_new_cap,Line_num,Line_FOM_cost,Line_est_cost,Line_flow,storage_total_cap,storage_new_cap,storage_FOM_cost,storage_est_cost,shed load,shedding cost,total generation,storage_charge,storage_discharge,total demand
ISONE,rcp85hotter,64,2,31,"[2050, 2052]",730,1,100,0,3940.01276,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,53798520347,11087039536,2570645568,66663.31922,66663.31922,1599919661,151682773.1,7336564413,30335.18458,30335.18458,970725906.5,156298038.6,3750475122,0,0,0,0,0,0,0,0,0,92528.36564,92528.36564,159,0,359806845.2,819020674.1,51695.56704,51695.56704,2490433942,10391334266,0.000334892,33.4892138,307980811.8,385214101.3,326051447,248818157.5
ISONE,rcp85hotter,64,2,22,"[2048, 2054]",730,1,100,0,3529.85636,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,57785287827,13321382356,3108320268,75723.43182,75723.43182,1817362364,137075814.7,8333665975,40342.43452,40342.43452,1290957905,172236138.2,4987716381,0,0,0,0,0,0,0,0,0,89576.98576,89576.98576,159,0,338418594.4,829024019.5,48656.68012,48656.68012,2344035565,9780487116,0.00028832,28.83197688,309311952.8,401458171.9,339788530.1,247642311
ISONE,rcp85hotter,64,2,10,"[2047, 2049]",730,1,100,0,3645.320471,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,55748930125,12185566968,2853009331,67101.51124,67101.51124,1610436270,137055246.4,7384789195,38830.40818,38830.40818,1242573062,168108929.8,4800777773,0,0,0,0,0,0,0,0,0,102738.5276,102738.5276,159,0,374712222.3,930038868.5,50007.69899,50007.69899,2409120899,10052055637,0.000114741,11.4740757,305164176.3,382684324.1,323945151.6,246425003.8
ISONE,rcp85hotter,64,2,32,"[2050, 2053]",730,1,100,0,3964.807461,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,53321427234,11293640332,2638142773,63536.61531,63536.61531,1524878768,141713973.3,6992458166,34789.50017,34789.50017,1113264005,164405311.4,4301182166,0,0,0,0,0,0,0,0,0,89429.17259,89429.17259,159,0,364768540.3,792550175.8,49618.37175,49618.37175,2390365059,9973796905,0.000141262,14.1262275,306119284.6,366400315.6,310183552.6,249902521.7
ISONE,rcp85hotter,64,2,23,"[2048, 2055]",730,1,100,0,4122.220123,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,57605579507,13243508475,3079246717,77711.76297,77711.76297,1865082311,148510880.8,8552489756,37942.63768,37942.63768,1214164406,161210643.4,4691018719,0,0,0,0,0,0,0,0,0,87397.55914,87397.55914,159,0,330502419.6,835822928.6,48757.04505,48757.04505,2348870646,9800661487,0.000179782,17.97815067,309721524.1,395103633.3,334441000.5,249058891.3
ISONE,rcp85hotter,64,2,11,"[2047, 2050]",730,1,100,0,3705.577142,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,52459382323,10758053639,2509719578,61262.06542,61262.06542,1470289570,141462439.2,6742134870,32482.18776,32482.18776,1039430008,161528794.3,4015918769,0,0,0,0,0,0,0,0,0,97766.76606,97766.76606,159,0,418088442.1,918540106.9,50339.39179,50339.39179,2425100200,10118729260,0.000848778,84.87778867,302991233.5,350824593.9,296954796.8,249121436.4
ISONE,rcp85hotter,64,2,33,"[2050, 2054]",730,1,100,0,3818.158426,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,52001656972,11112938470,2608429107,59733.50297,59733.50297,1433604071,127815210.9,6573910470,36713.28237,36713.28237,1174825036,174340348.4,4539028000,0,0,0,0,0,0,0,0,0,103264.5648,103264.5648,159,0,441992182.3,886802801.8,47504.70959,47504.70959,2288539384,9548929333,0.000181673,18.16727678,302155559.3,344915367.3,291948248.7,249188440.7
ISONE,rcp85hotter,64,2,34,"[2050, 2055]",730,1,100,0,4167.598629,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,51657170244,10795980870,2522353038,60634.00409,60634.00409,1455216098,139983803,6673014213,33348.02937,33348.02937,1067136940,161770816,4122966657,0,0,0,0,0,0,0,0,0,89584.7587,89584.7587,159,0,381198028.3,810489852.4,48674.86137,48674.86137,2344911447,9784141732,0.000130124,13.01244764,301754619,333266136.5,282116538.4,250605021
ISONE,rcp85hotter,64,2,36,"[2051, 2053]",730,1,100,0,4121.21305,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,53311733969,11504019576,2700777043,61712.23214,61712.23214,1481093571,136500002.9,6791677515,38115.1085,38115.1085,1219683472,169113034.7,4712342061,0,0,0,0,0,0,0,0,0,87759.20414,87759.20414,159,0,355227187.3,790658170.2,48541.58696,48541.58696,2338490952,9757352221,0.000104244,10.42441857,305613037.6,364500828.2,308567297.5,249679506.8
ISONE,rcp85hotter,64,2,35,"[2051, 2052]",730,1,100,0,3158.43893,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,53946225576,11489756645,2690032568,63284.7733,63284.7733,1518834559,140279273.1,6964741948,36599.93777,36599.93777,1171198009,164047313.4,4525014698,0,0,0,0,0,0,0,0,0,84039.72753,84039.72753,159,0,318961383.3,774846427.6,48135.60093,48135.60093,2318932575,9675744903,9593.694286,959369428.6,304326586.5,362813302.9,307072265.3,248595142.6
ISONE,historic,64,2,42,"[np.int64(2014), np.int64(2016)]",730,1,100,0,3059.28315,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,51139348974,11686933898,2786320493,53194.89577,53194.89577,1276677499,101170696.6,5854310645,47176.34358,47176.34358,1509642995,197665125.6,5832623253,0,0,0,0,0,0,0,0,0,87748.98917,87748.98917,159,0,347843582.7,843367924.1,43134.89727,43134.89727,2078023676,8670552654,0.003661283,366.1282581,298835822.3,375644326.7,317909463.4,241100959
