FIPS,Selected_Locations,STATE,COUNTYNAME,city,lat,lon,population,Zone
48213,5,TX,Henderson,Athens,32.2041,-95.8321,37955,93
48215,8,TX,Hidalgo,McAllen,26.2252,-98.2467,1397889,94
48217,6,TX,Hill,Hillsboro,32.0093,-97.115,16563,95
48221,1,TX,Hood,Granbury,32.4475,-97.7702,29259,96
48223,3,TX,Hopkins,Sulphur Springs,33.1421,-95.6122,17913,97
48225,8,TX,Houston,Crockett,31.3177,-95.4564,9246,98
48227,8,TX,Howard,Big Spring,32.2389,-101.4799,27508,99
48231,6,TX,Hunt,Greenville,33.1116,-96.1099,51477,100
48235,8,TX,Irion,Mertzon,31.262,-100.8208,819,101
48237,6,TX,Jack,Jacksboro,33.2256,-98.1594,5273,102
48239,8,TX,Jackson,Edna,28.9757,-96.6483,9046,103
48243,8,TX,Jeff Davis,Fort Davis,30.5789,-103.8946,1093,104
48247,8,TX,Jim Hogg,Hebbronville,27.3251,-98.6857,4608,105
48249,7,TX,Jim Wells,Alice,27.7556,-98.0653,28197,106
48251,2,TX,Johnson,Burleson,32.517,-97.3344,121003,107
48253,8,TX,Jones,Hamlin,32.8898,-100.1329,4809,108
48255,4,TX,Karnes,Kenedy,28.8176,-97.8518,8592,109
48257,3,TX,Kaufman,Forney,32.744,-96.4529,96528,110
48259,2,TX,Kendall,Boerne,29.7847,-98.7292,21426,111
48261,8,TX,Kenedy,Sarita,27.2235,-97.7955,46,112
48263,8,TX,Kent,Jayton,33.2502,-100.5748,477,113
48265,8,TX,Kerr,Kerrville,30.0398,-99.132,28492,114
48267,8,TX,Kimble,Junction,30.4906,-99.7726,2439,115
48269,8,TX,King,Guthrie,33.6215,-100.329,141,116
48271,8,TX,Kinney,Brackettville,29.3181,-100.4109,2731,117
48273,8,TX,Kleberg,Kingsville,27.5094,-97.861,26861,118
48275,8,TX,Knox,Munday,33.4471,-99.624,2671,119
48277,8,TX,Lamar,Paris,33.6688,-95.546,32394,120
48281,7,TX,Lampasas,Lampasas,31.064,-98.1824,9535,121
48283,8,TX,La Salle,Cotulla,28.4364,-99.2367,4682,122
48285,8,TX,Lavaca,Yoakum,29.2934,-97.1468,11556,123
48287,5,TX,Lee,Giddings,30.1833,-96.9279,6777,124
48289,6,TX,Leon,Buffalo,31.46,-96.066,6127,125
48293,5,TX,Limestone,Mexia,31.6809,-96.4833,12599,126
48297,7,TX,Live Oak,George West,28.33,-98.1183,4366,127
48299,8,TX,Llano,Kingsland,30.6651,-98.4545,18132,128
48301,8,TX,Loving,Mentone,31.7073,-103.5989,12,129
48303,5,TX,Lubbock,Lubbock,33.5657,-101.8879,302881,130
48305,8,TX,Lynn,Tahoka,33.164,-101.7949,3862,131
48307,8,TX,McCulloch,Brady,31.1322,-99.37,5478,132
48309,7,TX,McLennan,Waco,31.5599,-97.1882,278012,133
48311,8,TX,McMullen,Tilden,28.46,-98.5487,141,134
48313,4,TX,Madison,Madisonville,30.9538,-95.9091,4744,135
48317,8,TX,Martin,Stanton,32.1317,-101.7927,3066,136
48319,8,TX,Mason,Mason,30.748,-99.2288,1993,137
48321,8,TX,Matagorda,Bay City,28.9838,-95.9601,27476,138
48323,8,TX,Maverick,Eagle Pass,28.7125,-100.484,54736,139
48325,8,TX,Medina,Hondo,29.3531,-99.1616,19447,140
48327,8,TX,Menard,Menard,30.9185,-99.7837,1078,141
48329,6,TX,Midland,Midland,32.0243,-102.1147,143714,142
48331,8,TX,Milam,Rockdale,30.6543,-97.0089,13772,143
48333,5,TX,Mills,Goldthwaite,31.4513,-98.5736,2009,144
48335,8,TX,Mitchell,Colorado City,32.3996,-100.8582,5935,145
48337,5,TX,Montague,Bowie,33.5566,-97.844,11178,146
48339,3,TX,Montgomery,The Woodlands,30.1738,-95.5134,253163,147
48345,8,TX,Motley,Matador,34.015,-100.8211,983,148
48347,6,TX,Nacogdoches,Nacogdoches,31.6134,-94.6528,35435,149
48349,8,TX,Navarro,Corsicana,32.0824,-96.4665,34914,150
48353,8,TX,Nolan,Sweetwater,32.4692,-100.4092,12064,151
