,name,mask,lat,lon,loc_index,FIPS
97,23009_wind_1,96.2050752,44.786,-68.172,1.0,23009.0
98,23009_wind_2,106.935624,44.954,-68.417,2.0,23009.0
99,23009_wind_3,108.047016,45.057,-68.371,3.0,23009.0
100,23009_wind_4,106.49944799999999,45.024,-68.226,4.0,23009.0
101,23009_wind_5,95.15456640000001,45.127,-68.179,5.0,23009.0
102,23009_wind_6,98.0663472,45.094,-68.034,6.0,23009.0
103,23009_wind_7,104.4136944,45.23,-68.133,7.0,23009.0
104,23011_wind_0,40.33577952,44.214,-69.688,0.0,23011.0
105,23011_wind_1,41.62597056,44.41,-70.079,1.0,23011.0
106,23011_wind_2,37.34489808,44.318,-69.644,2.0,23011.0
107,23011_wind_3,44.4803976,44.514,-70.036,3.0,23011.0
108,23011_wind_4,39.707318879999995,44.483,-69.891,4.0,23011.0
109,23011_wind_5,46.41779808,44.587,-69.848,5.0,23011.0
110,23011_wind_6,57.48013872,44.494,-69.412,6.0,23011.0
111,23011_wind_7,54.7263936,44.628,-69.513,7.0,23011.0
112,23013_wind_0,30.7013904,44.017,-69.299,0.0,23013.0
113,23013_wind_1,34.2793584,44.121,-69.255,1.0,23013.0
114,23013_wind_2,37.5551064,44.255,-69.355,2.0,23013.0
115,23013_wind_3,30.714181919999998,44.224,-69.211,3.0,23013.0
116,23013_wind_4,0.0,,,4.0,23013.0
117,23013_wind_5,0.0,,,5.0,23013.0
118,23013_wind_6,0.0,,,6.0,23013.0
119,23013_wind_7,0.0,,,7.0,23013.0
120,23015_wind_0,39.28760352,44.111,-69.731,0.0,23015.0
121,23015_wind_1,44.08901856000001,44.08,-69.587,1.0,23015.0
122,23015_wind_2,30.54151152,44.048,-69.443,2.0,23015.0
123,23015_wind_3,47.026630080000004,44.183,-69.543,3.0,23015.0
124,23015_wind_4,37.849176,44.152,-69.399,4.0,23015.0
125,23015_wind_5,45.614750400000005,44.287,-69.5,5.0,23015.0
126,23015_wind_6,0.0,,,6.0,23015.0
127,23015_wind_7,0.0,,,7.0,23015.0
128,23017_wind_0,131.3733096,44.487,-70.994,0.0,23017.0
129,23017_wind_1,116.1119376,44.591,-70.952,1.0,23017.0
130,23017_wind_2,104.33449440000001,44.561,-70.806,2.0,23017.0
131,23017_wind_3,105.0387552,44.695,-70.911,3.0,23017.0
132,23017_wind_4,99.3087648,44.665,-70.764,4.0,23017.0
133,23017_wind_5,99.3082176,45.169,-71.037,5.0,23017.0
134,23017_wind_6,112.98425759999999,45.14,-70.89,6.0,23017.0
135,23017_wind_7,109.79881920000001,45.273,-70.995,7.0,23017.0
136,23019_wind_0,106.2929736,45.803,-68.682,0.0,23019.0
137,23019_wind_1,123.8455872,45.938,-68.784,1.0,23019.0
138,23019_wind_2,110.6528256,45.906,-68.636,2.0,23019.0
139,23019_wind_3,110.6120736,46.041,-68.738,3.0,23019.0
140,23019_wind_4,109.59539472,46.008,-68.59,4.0,23019.0
141,23019_wind_5,106.4540448,46.214,-68.497,5.0,23019.0
142,23019_wind_6,105.7047696,46.349,-68.599,6.0,23019.0
143,23019_wind_7,107.5162032,46.317,-68.451,7.0,23019.0
144,23021_wind_0,119.29367088,45.589,-69.261,0.0,23021.0
145,23021_wind_1,117.7679232,45.992,-69.57,1.0,23021.0
146,23021_wind_2,130.82333328,45.969,-68.932,2.0,23021.0
147,23021_wind_3,118.2597624,46.104,-69.035,3.0,23021.0
148,23021_wind_4,124.3586304,46.072,-68.886,4.0,23021.0
149,23021_wind_5,120.84947136,46.466,-69.689,5.0,23021.0
150,23021_wind_6,117.29707776000001,46.569,-69.644,6.0,23021.0
151,23021_wind_7,117.42048432,46.538,-69.495,7.0,23021.0
152,23023_wind_0,33.15486672,44.038,-69.918,0.0,23023.0
153,23023_wind_1,29.1517344,44.007,-69.774,1.0,23023.0
154,23023_wind_2,34.6323168,44.142,-69.875,2.0,23023.0
155,23023_wind_3,0.0,,,3.0,23023.0
156,23023_wind_4,0.0,,,4.0,23023.0
157,23023_wind_5,0.0,,,5.0,23023.0
158,23023_wind_6,0.0,,,6.0,23023.0
159,23023_wind_7,0.0,,,7.0,23023.0
160,23025_wind_0,119.55724848,45.628,-70.53,0.0,23025.0
161,23025_wind_1,132.4944864,46.115,-70.165,1.0,23025.0
162,23025_wind_2,118.50791616000001,46.084,-70.016,2.0,23025.0
163,23025_wind_3,118.115352,46.054,-69.867,3.0,23025.0
164,23025_wind_4,122.1887088,46.218,-70.121,4.0,23025.0
165,23025_wind_5,116.2600992,46.26,-69.778,5.0,23025.0
166,23025_wind_6,120.87730656000001,46.527,-69.988,6.0,23025.0
167,23025_wind_7,119.6036136,46.497,-69.839,7.0,23025.0
168,23027_wind_0,53.7404256,44.39,-69.456,0.0,23027.0
